timestamp,report,latitude,longitude,location,source
2014-01-23 17:00:00,KEEP+THE+PEACE%2dCROWD+CONTROL%2fABILA+CITY+PARK,[notset],[notset],Egeou+St+%2f+Parla+St,police
2014-01-23 17:02:10,TRAFFIC+STOP,[notset],[notset],N.+Els+St+%2f+N.+Polvo+St,police
2014-01-23 17:05:13,PARK+CHECK,[notset],[notset],2099+Sannan+Pky,police
2014-01-23 17:11:02,DISTURBANCE%2dNOISE,[notset],[notset],3654+N.+Barwyn+St,police
2014-01-23 17:11:53,ALARM%2dSECURE+NO+CRIME,[notset],[notset],3815+N.+Blant+St,police
2014-01-23 17:11:59,MISDEMEANOR+ASSAULT%2dIN+PROGRESS,[notset],[notset],N.+Dentro+St+%2f+N.+Omirou+St,police
2014-01-23 17:14:47,SUBJECT+STOP,[notset],[notset],3815+N.+Barwyn+St,police
2014-01-23 17:15:01,SUSPICIOUS+SUBJECT%2fCIRCUMSTANCES%2dIN+PROGRESS,[notset],[notset],436+Zefirou+Ave,police
2014-01-23 17:15:13,TRAFFIC+STOP,[notset],[notset],3703+N.+Pilau+St,police
2014-01-23 17:16:00,INCOMPLETE+CALL+FOR+POLICE,[notset],[notset],N%2fA,police
2014-01-23 17:17:25,BUSINESS+CHECK,[notset],[notset],898+N.+Utanfor+St,police
2014-01-23 17:18:00,VEHICLE+ACCIDENT%2dREPORT,[notset],[notset],N.+Spetson+St+%2f+N.+Arkadou+St,police
2014-01-23 17:18:33,CHECK+ON+HAZARD,[notset],[notset],4304+N.+Arbete+St,police
2014-01-23 17:19:00,DISTURBANCE%2dNOISE,[notset],[notset],3177+N.+Gounaraki+St,police
2014-01-23 17:21:00,INCOMPLETE+CALL+FOR+POLICE,[notset],[notset],N%2fA,police
2014-01-23 17:22:00,VEHICLE+ACCIDENT%2dREPORT,[notset],[notset],2582+N.+Parla+St,police
2014-01-23 17:22:47,TRAFFIC+STOP,[notset],[notset],4133+N.+Androutsou+St,police
2014-01-23 17:22:51,ALARM%2dSECURE+NO+CRIME,[notset],[notset],4357+N.+Blant+St,police
2014-01-23 17:23:22,SUBJECT+STOP,[notset],[notset],4252+N.+Bairn+St,police
2014-01-23 17:25:45,MISDEMEANOR+ASSAULT%2dIN+PROGRESS,[notset],[notset],N.+Gounaraki+St+%2f+N.+Bairn+Stt,police
2014-01-23 17:25:51,TRAFFIC+STOP,[notset],[notset],Rist+Way+%2f+Niovis+St,police
2014-01-23 17:26:42,INCOMPLETE+CALL+FOR+POLICE,[notset],[notset],N%2fA,police
2014-01-23 17:26:58,SUSPICIOUS+SUBJECT%2fCIRCUMSTANCES%2dIN+PROGRESS,[notset],[notset],2673+N.+Androutsou+St,police
2014-01-23 17:27:00,SUBJECT+STOP,[notset],[notset],3351+N.+Tzavella+St,police
2014-01-23 17:27:45,DISTURBANCE%2dNOISE,[notset],[notset],3198+N.+Gounaraki+St,police
2014-01-23 17:28:02,CROWD+CONTROL%2dSTREET+CLOSURE,[notset],[notset],N.+Parla+St+from+Egeou+Ave+North+to+N.+Alm+St,police
2014-01-23 17:29:00,SUSPICIOUS+SUBJECT%2fCIRCUMSTANCES%2dIN+PROGRESS,[notset],[notset],N.+Pilau+St+%2f+N.+Carnero+St,police
2014-01-23 17:32:00,ALARM%2dSECURE+NO+CRIME,[notset],[notset],3234+N.+Avionos+St,police
2014-01-23 17:34:00,VEHICLE+ACCIDENT%2dREPORT,[notset],[notset],N.+Taxiarchon+St+%2f+N.+Arkadou+St,police
2014-01-23 17:35:01,TRAFFIC+STOP,[notset],[notset],N.+Artakis+St+%2f+N.+Evzonon+St,police
2014-01-23 17:36:11,PARK+CHECK,[notset],[notset],2999+N.+Arkadiou+St,police
2014-01-23 17:38:02,BUSINESS+CHECK,[notset],[notset],S.+Achilleos+St+%2f+S.+Utanfor+St,police
2014-01-23 17:38:14,INCOMPLETE+CALL+FOR+POLICE,[notset],[notset],N%2fA,police
2014-01-23 17:39:00,TRAFFIC+STOP,[notset],[notset],2014+Sannan+Pky,police
2014-01-23 17:40:56,SUBJECT+STOP,[notset],[notset],N.+Berlau+St+%2f+N.+Taxiarchon+Ave,police
2014-01-23 17:41:00,DISTURBANCE%2dNOISE,[notset],[notset],4777+N.+Arkadou+St,police
2014-01-23 17:42:00,VEHICLE+ACCIDENT%2dREPORT,[notset],[notset],Vissaraki+St+%2f+Rist+Way,police
2014-01-23 17:42:31,TRAFFIC+STOP,[notset],[notset],N.+Alexandrias+St+%2f+N.+Evzonon+St,police
2014-01-23 17:43:09,MISDEMEANOR+ASSAULT%2dIN+PROGRESS,[notset],[notset],2211+N.+Artakis+St,police
2014-01-23 17:44:00,SUSPICIOUS+SUBJECT%2fCIRCUMSTANCES%2dIN+PROGRESS,[notset],[notset],1439+N.+Utanfor+St,police
2014-01-23 17:46:11,ALARM%2dSECURE+NO+CRIME,[notset],[notset],2411+N.+Averof+St,police
2014-01-23 17:49:00,VEHICLE+ACCIDENT%2dREPORT,[notset],[notset],N.+Pilau+St+%2f+N.+Barwyn+St,police
2014-01-23 17:50:00,TRAFFIC+STOP,[notset],[notset],N.+Taxiarchon+Ave+%2f+N.+Alm+St,police
2014-01-23 17:51:23,SUBJECT+STOP,[notset],[notset],N.+Carnero+St+%2f+N.+Omirou+St,police
2014-01-23 17:52:32,BUSINESS+CHECK,[notset],[notset],N.+Agisilaou+St+%2f+N.+Lumen+St,police
2014-01-23 17:53:59,INCOMPLETE+CALL+FOR+POLICE,[notset],[notset],N%2fA,police
2014-01-23 18:04:01,ALARM%2dSECURE+NO+CRIME,[notset],[notset],3247+N.+Mikonou+St,police
2014-01-23 18:04:47,DISTURBANCE%2dNOISE,[notset],[notset],101+Vatopediou+Rd,police
2014-01-23 18:05:15,SUBJECT+STOP,[notset],[notset],1919+N.+Pilau+St,police
2014-01-23 18:06:15,TRAFFIC+STOP,[notset],[notset],2978+N.+Taxiarchon+Ave,police
2014-01-23 18:07:52,PARK+CHECK,[notset],[notset],3301+N.+Taxiarchon+Ave,police
2014-01-23 18:09:22,MISDEMEANOR+ASSAULT%2dIN+PROGRESS,[notset],[notset],5367+N.+Averof+St,police
2014-01-23 18:10:02,VANDALISM%2dREPORT,[notset],[notset],6055+N.+Desafio+St,police
2014-01-23 18:13:49,TRAFFIC+STOP,[notset],[notset],Rist+Way+%2f+Exadakitiou+Way,police
2014-01-23 18:14:13,BUSINESS+CHECK,[notset],[notset],2197+Rist+Way,police
2014-01-23 18:15:33,INCOMPLETE+CALL+FOR+POLICE,[notset],[notset],N%2fA,police
2014-01-23 18:16:34,SUBJECT+STOP,[notset],[notset],N.+Pilau+St+%2f+N.+Aveny+St,police
2014-01-23 18:17:55,SUSPICIOUS+SUBJECT%2fCIRCUMSTANCES%2dIN+PROGRESS,[notset],[notset],781+S.+Maskin+St,police
2014-01-23 18:20:00,CHECK+ON+HAZARD,[notset],[notset],3776+N.+Scarkeme+St,police
2014-01-23 18:21:44,TRAFFIC+STOP,[notset],[notset],5607+N.+Bilar+St,police
2014-01-23 18:25:00,ALARM%2dSECURE+NO+CRIME,[notset],[notset],4678+N.+Delfon+St,police
2014-01-23 18:30:00,TRAFFIC+STOP,[notset],[notset],N.+Taxiarchon+Ave+%2f+N.+Agiasou+St,police
